City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
641,Alugan,PH,77.34,few clouds,12.2188,125.4808,San Policarpo
645,Bull Savanna,JM,77.7,clear sky,17.8868,-77.5902,Alligator Pond
657,Kralendijk,BQ,82.38,scattered clouds,12.15,-68.2667,Kralendijk
659,Ambanja,MG,80.49,moderate rain,-13.6833,48.45,Ambanja
660,Kudat,MY,77.05,overcast clouds,6.8837,116.8477,Kudat
661,Maldonado,UY,85.39,overcast clouds,-34.6667,-54.9167,Chacra Gaia
664,Sumenep,ID,79.52,overcast clouds,-7.0167,113.8667,Sumenep
665,Takoradi,GH,85.06,overcast clouds,4.8845,-1.7554,Takoradi
666,Banda Aceh,ID,78.06,overcast clouds,5.5577,95.3222,Banda Aceh
667,Tsumeb,,89.76,overcast clouds,-19.2333,17.7167,Tsumeb
668,Taoudenni,ML,78.17,clear sky,22.6783,-3.9836,Taoudenni
669,Barra Do Garcas,BR,83.25,scattered clouds,-15.89,-52.2567,Barra do Garças
672,Nang Rong,TH,76.84,scattered clouds,14.6377,102.7914,Nang Rong
686,Conceicao Do Araguaia,BR,84.76,light rain,-8.2578,-49.2647,Conceição do Araguaia
691,Lat Yao,TH,78.51,scattered clouds,15.751,99.7893,Lat Yao
692,Sibolga,ID,76.75,few clouds,1.7427,98.7792,Sibolga
693,Paso De Los Toros,UY,88.83,overcast clouds,-32.8167,-56.5167,Paso de los Toros
697,Yuli,NG,87.06,overcast clouds,9.6989,10.2744,Bajoga
701,San Rafael,AR,79.11,clear sky,-34.6177,-68.3301,San Rafael
710,Axim,GH,85.3,overcast clouds,4.8699,-2.2405,Axim
712,Caxito,AO,81.25,light rain,-8.5785,13.6643,Caxito
